Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2019-11-12;0;23,4;
2019-11-13;0;23,3;
2019-11-14;0;22,6;
2019-11-15;21,2;21;
2019-11-16;10,6;22,7;
2019-11-17;3,4;22,8;
2019-11-18;,4;21,4;
2019-11-19;21,2;22,1;
2019-11-20;10,4;21,3;
2019-11-21;1,8;22,5;
2019-11-22;2,4;23,2;
2019-11-23;18,2;22,2;
2019-11-24;0;21,9;
2019-11-25;2,4;21,8;
2019-11-26;0;23,3;
2019-11-27;0;24,4;
2019-11-28;0;23,3;
2019-11-29;5,4;22,2;
2019-11-30;21,8;22,7;
2019-12-01;,8;24,1;
2019-12-02;16,4;23,8;
2019-12-03;,8;23,2;
2019-12-04;0;23,2;
2019-12-05;25,4;22,5;
2019-12-06;11;23,2;
2019-12-07;26,8;23,6;
2019-12-08;0;22,4;
2019-12-09;0;22,6;
2019-12-10;37,8;22,7;
2019-12-11;57,6;21,9;
2019-12-12;24,2;21,8;
2019-12-13;3,8;23,8;
2019-12-14;0;25;
2019-12-15;0;25,5;
2019-12-16;0;24,5;
2019-12-17;0;24,8;
2019-12-18;0;25,2;
2019-12-19;0;21,9;
2019-12-20;30,4;22,8;
2019-12-21;25,8;23,2;
2019-12-22;0;25,9;
2019-12-23;0;22,5;
2019-12-24;26;21,4;
2019-12-25;23;23,7;
2019-12-26;0;25,6;
2019-12-27;0;25,4;
2019-12-28;0;25;
2019-12-29;0;24,9;
2019-12-30;0;24,6;
2019-12-31;0;24,6;
2020-01-01;0;25,3;
2020-01-02;0;22,8;
2020-01-03;1,6;22,6;
2020-01-04;59;22,6;
2020-01-05;6,2;23,4;
2020-01-06;2;23,8;
2020-01-07;8;24,6;
2020-01-08;,2;22,8;
2020-01-09;4,6;24,2;
2020-01-10;0;26;
2020-01-11;2;26,5;
2020-01-12;0;26,5;
2020-01-13;0;26,1;
2020-01-14;0;24,4;
2020-01-15;0;25,2;
2020-01-16;0;25,7;
2020-01-17;26,4;23,8;
2020-01-18;0;23,4;
2020-01-19;16,6;23,7;
2020-01-20;3,6;22,5;
2020-01-21;10,6;23,1;
2020-01-22;0;23,4;
2020-01-23;11,8;21,5;
2020-01-24;107;21,6;
2020-01-25;33,2;22,5;
2020-01-26;,2;23,7;
2020-01-27;0;25,4;
2020-01-28;0;24,5;
2020-01-29;19,4;23,7;
2020-01-30;,2;26;
2020-01-31;0;25,9;
2020-02-01;0;25,1;
2020-02-02;13,2;23,4;
2020-02-03;14,4;24,6;
2020-02-04;0;25,6;
2020-02-05;,2;23,5;
2020-02-06;15,4;21,5;
2020-02-07;33,6;21,6;
2020-02-08;8;22,7;
2020-02-09;,6;22,5;
2020-02-10;,2;23,3;
2020-02-11;31,6;21,4;
2020-02-12;64,6;22,8;
2020-02-13;1,6;22,2;
2020-02-14;54,6;22,7;
2020-02-15;0;25,4;
2020-02-16;0;24,2;
2020-02-17;4,6;23,2;
2020-02-18;0;25,5;
2020-02-19;0;25,2;
2020-02-20;0;25,8;
2020-02-21;0;24,4;
2020-02-22;0;23,3;
2020-02-23;12,4;22;
2020-02-24;0;21;
2020-02-25;26;24;
2020-02-26;1;23,8;
2020-02-27;8,6;23,5;
2020-02-28;4,2;22,1;
2020-02-29;16,6;22,3;
2020-03-01;1,4;22,2;
2020-03-02;45,8;19,3;
2020-03-03;2;20;
2020-03-04;29,2;23,1;
2020-03-05;,8;22,5;
2020-03-06;11,8;20,6;
2020-03-07;5,6;22;
2020-03-08;0;22,7;
2020-03-09;0;22,8;
2020-03-10;0;23,4;
2020-03-11;0;24;
2020-03-12;0;23,9;
2020-03-13;0;23,9;
2020-03-14;,2;24;
2020-03-15;,2;24,4;
2020-03-16;0;24,3;
2020-03-17;0;22,8;
2020-03-18;2,4;24;
2020-03-19;0;24,4;
2020-03-20;0;24,3;
2020-03-21;2,4;23,3;
2020-03-22;2,4;22,1;
2020-03-23;,2;21,9;
2020-03-24;0;20,7;
2020-03-25;0;20,7;
2020-03-26;0;21,1;
2020-03-27;0;20,8;
2020-03-28;,2;22,4;
2020-03-29;,2;23;
2020-03-30;0;23,7;
2020-03-31;11;23,2;
2020-04-01;29,8;23,5;
2020-04-02;14,6;22,7;
2020-04-03;,2;23,8;
2020-04-04;0;24,3;
2020-04-05;0;24;
2020-04-06;0;24,3;
2020-04-07;0;24,1;
2020-04-08;3,4;22,9;
2020-04-09;,8;21,6;
2020-04-10;,2;22,1;
2020-04-11;3,2;23,7;
2020-04-12;,2;22,6;
2020-04-13;0;21,3;
2020-04-14;0;21,5;
2020-04-15;7,6;20,5;
2020-04-16;,2;21,3;
2020-04-17;,2;21,5;
2020-04-18;0;21,7;
2020-04-19;0;19,6;
2020-04-20;0;20,6;
2020-04-21;0;20,3;
2020-04-22;0;20,6;
2020-04-23;,2;21,4;
2020-04-24;0;21,6;
2020-04-25;0;21;
2020-04-26;0;21,8;
2020-04-27;0;20,1;
2020-04-28;0;19,6;
